Date,Region,Category,Product,Sales,Units,Profit
2023-01-15,NorthAmerica,Electronics,Laptop XPS,4500,3,1200
2023-01-20,Europe,Electronics,Laptop XPS,3000,2,800
2023-01-25,Asia,Accessories,Mouse Pro,450,15,225
2023-02-10,NorthAmerica,Furniture,Ergo Chair,2100,7,600
2023-02-18,Europe,Furniture,Standing Desk,3200,8,950
2023-02-28,Asia,Electronics,Smartphone X,6000,10,1800
2023-03-05,NorthAmerica,Accessories,Keyboard Mech,1200,12,400
2023-03-12,SouthAmerica,Electronics,Smartphone X,1800,3,540
2023-03-22,Europe,Accessories,Mouse Pro,600,20,300
2023-04-02,NorthAmerica,Electronics,Tablet Z,2500,5,800
2023-04-15,Asia,Furniture,Ergo Chair,1500,5,450
2023-04-28,Europe,Electronics,Tablet Z,3500,7,1120
2023-05-10,NorthAmerica,Furniture,Standing Desk,4000,10,1200
2023-05-15,SouthAmerica,Furniture,Ergo Chair,900,3,270
2023-05-25,Asia,Accessories,Keyboard Mech,800,8,260
